uf;tipo_de_crime;ano;qtd;taxa_100mil_hab
ES;Despesas empenhadas na Função Segurança Pública;2019;1427714224.06622;35527209.9850999
MG;Despesas empenhadas na Função Segurança Pública;2019;9308713900.68808;43973762.6049975
SP;Despesas empenhadas na Função Segurança Pública;2019;12321963972533;26834100.9687135
RJ;Despesas empenhadas na Função Segurança Pública;2019;10035271022.4723;58125132.6602835
PR;Despesas empenhadas na Função Segurança Pública;2019;3986054602.74969;34861549.7045309
RS;Despesas empenhadas na Função Segurança Pública;2019;5038747815.08578;44287966.6594485
SC;Despesas empenhadas na Função Segurança Pública;2019;2396133288.01008;33443184.7531299
Brasil;Despesas empenhadas na Função Segurança Pública;2019;79789379983883;37968342.4095776
AC;Despesas empenhadas na Função Segurança Pública;2020;493753295.05;55200654.583161
AP;Despesas empenhadas na Função Segurança Pública;2020;752252498.84;87291258.700377
AM;Despesas empenhadas na Função Segurança Pública;2020;2101446656.49;49942716.0802754
PA;Despesas empenhadas na Função Segurança Pública;2020;2966553398.06;34134627.1011288
RO;Despesas empenhadas na Função Segurança Pública;2020;999043935.87;55611810.7761932
RR;Despesas empenhadas na Função Segurança Pública;2020;391178398.82;61975629.6244659
TO;Despesas empenhadas na Função Segurança Pública;2020;1059726411.65;66639065.8343856
AL;Despesas empenhadas na Função Segurança Pública;2020;1354986271.1;40428730.0237532
BA;Despesas empenhadas na Função Segurança Pública;2020;4321663327.23;28944941.8372321
CE;Despesas empenhadas na Função Segurança Pública;2020;3045582668.99;33150631.5863662
MA;Despesas empenhadas na Função Segurança Pública;2020;1954383775.43;27470052.0736379
PB;Despesas empenhadas na Função Segurança Pública;2020;1417591703.65;35095184.2037573
PE;Despesas empenhadas na Função Segurança Pública;2020;2880151335.77;29949722.8368467
PI;Despesas empenhadas na Função Segurança Pública;2020;785831782.84;23947480.4917293
RN;Despesas empenhadas na Função Segurança Pública;2020;1038218393.89;29376624.8573567
SE;Despesas empenhadas na Função Segurança Pública;2020;956784404.13;41261658.0371413
GO;Despesas empenhadas na Função Segurança Pública;2020;3191756073.42;44868744.3019931
MT;Despesas empenhadas na Função Segurança Pública;2020;2577010278.49;73081381.1529059
MS;Despesas empenhadas na Função Segurança Pública;2020;1240097629.22;44141107.6274812
DF;Despesas empenhadas na Função Segurança Pública;2020;976512801.87;31962853.5914288
ES;Despesas empenhadas na Função Segurança Pública;2020;1408398431.23;34655029.7887429
MG;Despesas empenhadas na Função Segurança Pública;2020;8987254187.84;42208214.7338431
SP;Despesas empenhadas na Função Segurança Pública;2020;11935651972.97;25784886.4941951
RJ;Despesas empenhadas na Função Segurança Pública;2020;9450563276.46;54419327.5592014
PR;Despesas empenhadas na Função Segurança Pública;2020;3687001806.21;32014005.63184
RS;Despesas empenhadas na Função Segurança Pública;2020;5530741787.01;48417708.6561441
SC;Despesas empenhadas na Função Segurança Pública;2020;2406363535.3;33179770.7232621
Brasil;Despesas empenhadas na Função Segurança Pública;2020;77910500037.83;36792635.5612816
